Year,Accepted,Rejected,AcceptanceRate
1996,14155,18026,43.99
1997,13801,20410,40.34
1998,13964,23155,37.62
1999,13976,24878,35.97
2000,14118,27209,34.16
2001,14611,30069,32.7
2002,14091,31543,30.88
2003,14000,33013,29.78
2004,14371,32788,30.47
2005,15401,31993,32.5
2006,15755,36640,30.07
2007,16438,38750,29.79
2008,16450,44384,27.04
2009,16979,44985,27.4
2010,16975,48538,25.91
2011,17877,51140,25.9
2012,17123,60362,22.1
2013,18104,65606,21.63
2014,17183,73216,19.01
2015,17014,79161,17.69
2016,19019,82710,18.7
2017,20246,83420,19.53
2018,18017,90796,16.56
2019,19407,87046,18.23
2020,20231,88245,18.65
