Year,Accepted,Rejected,AcceptanceRate
1996,11312,13792,45.06
1997,10714,16437,39.46
1998,10981,19061,36.55
1999,11051,20056,35.53
2000,11362,21883,34.18
2001,11510,24590,31.88
2002,10906,25566,29.9
2003,11020,25764,29.96
2004,11268,25708,30.47
2005,11960,25019,32.34
2006,12177,29573,29.17
2007,12675,31476,28.71
2008,12752,35710,26.31
2009,13058,35615,26.83
2010,13037,37356,25.87
2011,13822,39169,26.08
2012,13291,48440,21.53
2013,14187,53530,20.95
2014,13342,60437,18.08
2015,13270,65654,16.81
2016,14436,68145,17.48
2017,15491,69566,18.21
2018,13545,73854,15.5
2019,14608,73459,16.59
2020,15457,74164,17.25
