Year,LettersScience,NaturalResources,EnvironmentalDesign,Optometry,Engineering,Chemistry,Haas
1996,11154,472,328,3,1544,543,111
1997,10928,464,321,3,1575,413,97
1998,11048,477,319,6,1561,440,113
1999,11075,482,306,1,1591,435,86
2000,11353,530,327,6,1422,410,70
2001,11593,520,348,0,1597,471,82
2002,11396,470,325,0,1452,367,81
2003,11085,585,355,0,1459,425,91
2004,11285,723,370,0,1464,436,93
2005,11990,772,334,0,1719,496,90
2006,12266,785,349,0,1717,549,89
2007,12760,859,378,0,1755,590,96
2008,12587,936,356,0,1881,596,94
2009,13276,852,308,0,1816,626,101
2010,12878,992,300,0,2052,648,105
2011,13747,993,309,0,2068,658,102
2012,13361,912,273,0,1867,619,91
2013,14092,964,267,0,1984,706,91
2014,13412,875,372,0,1774,659,91
2015,13180,970,364,0,1771,635,94
2016,14949,1120,344,0,1831,668,107
2017,15689,1204,363,0,2174,710,106
2018,13775,1147,340,0,2001,650,104
2019,14895,1293,370,0,2031,711,107
2020,15085,1519,445,0,2267,807,108
