Year,LettersScience,NaturalResources,EnvironmentalDesign,Optometry,Engineering,Chemistry,Haas
1996,2195,80,81,3,267,106,111
1997,2456,81,79,3,275,96,97
1998,2371,73,82,6,251,87,113
1999,2283,107,84,1,278,86,86
2000,2205,79,87,6,228,81,70
2001,2529,58,91,0,234,107,82
2002,2593,84,95,0,234,98,81
2003,2348,81,111,0,258,91,91
2004,2455,110,96,0,246,103,93
2005,2779,133,68,0,261,110,90
2006,2916,135,67,0,265,106,89
2007,3058,159,71,0,266,113,96
2008,2986,159,80,0,275,104,94
2009,3179,151,73,0,291,126,101
2010,3213,162,79,0,266,113,105
2011,3336,150,83,0,265,119,102
2012,3096,148,93,0,259,145,91
2013,3234,148,97,0,218,129,91
2014,3161,141,99,0,230,119,91
2015,3072,147,104,0,209,118,94
2016,3818,172,100,0,262,124,107
2017,3966,174,95,0,280,134,106
2018,3706,183,84,0,279,116,104
2019,4000,210,78,0,289,115,107
2020,3945,196,63,0,326,136,108
