Year,LettersScience,NaturalResources,EnvironmentalDesign,Optometry,Engineering,Chemistry,Haas
1996,24745,948,733,46,4221,816,672
1997,25430,1266,700,32,5254,828,701
1998,27857,1318,784,32,5566,858,704
1999,29042,1353,826,24,6027,815,767
2000,30761,1529,857,33,6587,790,770
2001,33408,1269,868,15,7430,789,901
2002,34236,1651,967,13,7016,781,970
2003,35425,1834,1074,0,6751,864,1065
2004,34684,2411,1181,0,6687,1086,1110
2005,34462,2115,1292,0,6544,1838,1143
2006,37853,2560,1392,0,7100,2330,1160
2007,39218,2793,1574,0,7738,2551,1314
2008,42969,3260,1624,0,8802,2714,1465
2009,42647,4257,1438,0,9380,2752,1490
2010,44203,4614,1374,0,10507,3273,1542
2011,47295,4314,1418,0,11187,3273,1530
2012,51763,4950,1458,0,14023,3818,1473
2013,55564,5194,1410,0,15892,4142,1508
2014,60944,4239,1510,0,18196,3873,1637
2015,64166,4544,1644,0,20231,3766,1824
2016,66011,6916,1743,0,21304,3838,1917
2017,65647,8270,1821,0,22258,3831,1839
2018,73162,5062,1885,0,22756,4028,1920
2019,72452,5212,2012,0,21189,3726,1862
2020,77121,5734,2171,0,17942,3504,2004
