Year,LettersScience,NaturalResources,EnvironmentalDesign,Engineering,Chemistry
1996,19690,776,530,3500,608
1997,20475,1076,516,4445,639
1998,22855,1161,581,4747,698
1999,23521,1180,643,5116,647
2000,24909,1355,675,5673,633
2001,27277,1139,683,6386,615
2002,27723,1451,767,5894,637
2003,28273,1623,862,5539,679
2004,27180,2124,966,5658,856
2005,27051,1818,1071,5571,1468
2006,30289,2211,1159,6178,1913
2007,31635,2404,1255,6777,2080
2008,34343,2780,1297,7795,2247
2009,33379,3682,1117,8255,2240
2010,33642,3970,1032,9098,2651
2011,36044,3653,1091,9630,2573
2012,40994,4240,1155,12262,3080
2013,44707,4530,1105,13987,3388
2014,49599,3591,1219,16175,3195
2015,52550,3960,1336,17933,3145
2016,53159,6209,1431,18657,3125
2017,53005,7523,1519,19805,3205
2018,59992,4305,1572,20307,3445
2019,59243,4458,1686,18836,3176
2020,62596,4756,1815,15881,3019
